"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 04 11:12:34 IST 2021","Mon Jan 04 11:12:34 IST 2021","503","functional_tests","test_location_search","TestLocationSearch","","","test_valid_random_query_value","Response time for the request is: 0.499545"
"passed","Mon Jan 04 11:12:35 IST 2021","Mon Jan 04 11:12:35 IST 2021","572","functional_tests","test_location_search","TestLocationSearch","","","test_valid_lattlong_value","Response time for the request is: 0.567135"
"skipped","Mon Jan 04 11:12:27 IST 2021","Mon Jan 04 11:12:31 IST 2021","3194","functional_tests","test_location_day","TestLocationDay","","","test_invalid_method_type","Response time for the request is: 1.63269"
"passed","Mon Jan 04 11:12:32 IST 2021","Mon Jan 04 11:12:33 IST 2021","980","functional_tests","test_location_search","TestLocationSearch","","","test_valid_query_value","Response time for the request is: 0.975038"
"passed","Mon Jan 04 11:12:31 IST 2021","Mon Jan 04 11:12:32 IST 2021","1410","functional_tests","test_location_day","TestLocationDay","","","test_valid_random_woeid","Response time for the request is: 0.885869"
"passed","Mon Jan 04 11:12:33 IST 2021","Mon Jan 04 11:12:34 IST 2021","515","functional_tests","test_location_search","TestLocationSearch","","","test_valid_query_subset_value","Response time for the request is: 0.510245"
"passed","Mon Jan 04 11:12:26 IST 2021","Mon Jan 04 11:12:27 IST 2021","1461","functional_tests","test_location_day","TestLocationDay","","","test_valid_woeid_date","Response time for the request is: 0.629153"
"skipped","Mon Jan 04 11:12:35 IST 2021","Mon Jan 04 11:12:36 IST 2021","485","functional_tests","test_location_search","TestLocationSearch","","","test_invalid_lattlong_value","Response time for the request is: 0.479466"
"passed","Mon Jan 04 11:12:36 IST 2021","Mon Jan 04 11:12:36 IST 2021","488","functional_tests","test_location_search","TestLocationSearch","","","test_invalid_method_type","Response time for the request is: 0.484444"
"passed","Mon Jan 04 11:12:34 IST 2021","Mon Jan 04 11:12:35 IST 2021","481","functional_tests","test_location_search","TestLocationSearch","","","test_valid_random_lattlong_value","Response time for the request is: 0.475895"
